Ano de eleição;Cargo;Cor/raça;Detalhe da situação de candidatura;Estado civil;Faixa etária;Gênero;Grau de instrução;Município;Nacionalidade;Ocupação;Sigla partido;Situação de candidatura;Situação de totalização;UF;Região
2022;Governador;Branca;Deferido;Casado(a);65 a 69 anos;Masculino;Superior completo;PARAÍBA;Brasileira nata;Engenheiro;PSB;Apto;Eleito;PB;NORDESTE
2022;Governador;Branca;Deferido;Casado(a);65 a 69 anos;Masculino;Superior completo;RIO GRANDE DO SUL;Brasileira nata;Veterinário;PL;Apto;2º turno;RS;SUL
2022;Governador;Branca;Deferido;Casado(a);65 a 69 anos;Masculino;Superior completo;RIO GRANDE DO SUL;Brasileira nata;Veterinário;PL;Apto;Não eleito;RS;SUL
2022;Governador;Branca;Deferido;Casado(a);65 a 69 anos;Masculino;Superior completo;SANTA CATARINA;Brasileira nata;Engenheiro;PDT;Apto;Não eleito;SC;SUL
2022;Governador;Branca;Deferido;Casado(a);65 a 69 anos;Masculino;Superior completo;TOCANTINS;Brasileira nata;Empresário;PT;Apto;Não eleito;TO;NORTE
2022;Governador;Branca;Deferido;Casado(a);70 a 74 anos;Masculino;Superior completo;ALAGOAS;Brasileira nata;Senador;PTB;Apto;Não eleito;AL;NORDESTE
2022;Governador;Branca;Deferido;Casado(a);70 a 74 anos;Masculino;Superior completo;DISTRITO FEDERAL;Brasileira nata;Empresário;PSD;Apto;Não eleito;DF;CENTRO-OESTE
2022;Governador;Branca;Deferido;Casado(a);70 a 74 anos;Masculino;Superior completo;GOIÁS;Brasileira nata;Médico;UNIÃO;Apto;Eleito;GO;CENTRO-OESTE
2022;Governador;Branca;Deferido;Casado(a);70 a 74 anos;Masculino;Superior completo;MATO GROSSO DO SUL;Brasileira (naturalizada);Médico;MDB;Apto;Não eleito;MS;CENTRO-OESTE
2022;Governador;Branca;Deferido;Casado(a);70 a 74 anos;Masculino;Superior completo;PIAUÍ;Brasileira nata;Médico;UNIÃO;Apto;Não eleito;PI;NORDESTE
2022;Governador;Branca;Deferido;Casado(a);70 a 74 anos;Masculino;Superior completo;RIO GRANDE DO SUL;Brasileira nata;Agrônomo;PP;Apto;Não eleito;RS;SUL
2022;Governador;Branca;Deferido;Casado(a);75 a 79 anos;Masculino;Superior completo;SANTA CATARINA;Brasileira nata;Senador;PP;Apto;Não eleito;SC;SUL
2022;Governador;Branca;Deferido;Casado(a);80 a 84 anos;Masculino;Superior completo;PARANÁ;Brasileira nata;Advogado;PT;Apto;Não eleito;PR;SUL
2022;Governador;Branca;Deferido;Divorciado(a);35 a 39 anos;Masculino;Ensino Médio completo;BAHIA;Brasileira nata;Motorista Particular;PCO;Apto;Não eleito;BA;NORDESTE
2022;Governador;Branca;Deferido;Divorciado(a);40 a 44 anos;Masculino;Ensino Médio completo;RIO GRANDE DO NORTE;Brasileira nata;Empresário;DC;Apto;Não eleito;RN;NORDESTE
2022;Governador;Branca;Deferido;Divorciado(a);45 a 49 anos;Masculino;Superior completo;ALAGOAS;Brasileira nata;Advogado;PSD;Apto;Não eleito;AL;NORDESTE
2022;Governador;Branca;Deferido;Divorciado(a);50 a 54 anos;Masculino;Superior completo;DISTRITO FEDERAL;Brasileira nata;Policial Militar;PTB;Apto;Não eleito;DF;CENTRO-OESTE
2022;Governador;Branca;Deferido;Divorciado(a);55 a 59 anos;Masculino;Superior completo;MINAS GERAIS;Brasileira nata;Governador;NOVO;Apto;Eleito;MG;SUDESTE
2022;Governador;Branca;Deferido;Divorciado(a);55 a 59 anos;Masculino;Superior completo;SÃO PAULO;Brasileira nata;Ferroviário;PSTU;Apto;Não eleito;SP;SUDESTE
2022;Governador;Branca;Deferido;Divorciado(a);60 a 64 anos;Masculino;Superior completo;SANTA CATARINA;Brasileira nata;Membro do Ministério Público;NOVO;Apto;Não eleito;SC;SUL
2022;Governador;Branca;Deferido;Divorciado(a);65 a 69 anos;Masculino;Superior completo;SANTA CATARINA;Brasileira nata;Senador;PL;Apto;2º turno;SC;SUL
2022;Governador;Branca;Deferido;Divorciado(a);65 a 69 anos;Masculino;Superior completo;SANTA CATARINA;Brasileira nata;Senador;PL;Apto;Eleito;SC;SUL
2022;Governador;Branca;Deferido;Divorciado(a);65 a 69 anos;Masculino;Superior completo;SÃO PAULO;Brasileira nata;Advogado;DC;Apto;Não eleito;SP;SUDESTE
2022;Governador;Branca;Deferido;Divorciado(a);70 a 74 anos;Masculino;Superior completo;RIO GRANDE DO SUL;Brasileira nata;Empresário;PSC;Apto;Não eleito;RS;SUL
2022;Governador;Branca;Deferido;Separado(a) judicialmente;50 a 54 anos;Masculino;Superior completo;PARANÁ;Brasileira nata;Advogado;PDT;Apto;Não eleito;PR;SUL
2022;Governador;Branca;Deferido;Solteiro(a);30 a 34 anos;Feminino;Ensino Médio completo;RIO DE JANEIRO;Brasileira nata;Outros;UP;Apto;Não eleito;RJ;SUDESTE
2022;Governador;Branca;Deferido;Solteiro(a);30 a 34 anos;Masculino;Superior completo;BAHIA;Brasileira nata;Professor de Ensino Fundamental;PCB;Apto;Não eleito;BA;NORDESTE
2022;Governador;Branca;Deferido;Solteiro(a);30 a 34 anos;Masculino;Superior completo;PARAÍBA;Brasileira nata;Deputado;PSDB;Apto;2º turno;PB;NORDESTE
2022;Governador;Branca;Deferido;Solteiro(a);30 a 34 anos;Masculino;Superior completo;PARAÍBA;Brasileira nata;Deputado;PSDB;Apto;Não eleito;PB;NORDESTE
2022;Governador;Branca;Deferido;Solteiro(a);30 a 34 anos;Masculino;Superior completo;SÃO PAULO;Brasileira nata;Outros;PCB;Apto;Não eleito;SP;SUDESTE
2022;Governador;Branca;Deferido;Solteiro(a);35 a 39 anos;Masculino;Superior completo;RIO GRANDE DO SUL;Brasileira nata;Outros;PSDB;Apto;2º turno;RS;SUL
2022;Governador;Branca;Deferido;Solteiro(a);35 a 39 anos;Masculino;Superior completo;RIO GRANDE DO SUL;Brasileira nata;Outros;PSDB;Apto;Eleito;RS;SUL
2022;Governador;Branca;Deferido;Solteiro(a);35 a 39 anos;Masculino;Superior completo;SÃO PAULO;Brasileira nata;Deputado;NOVO;Apto;Não eleito;SP;SUDESTE
2022;Governador;Branca;Deferido;Solteiro(a);40 a 44 anos;Feminino;Superior completo;GOIÁS;Brasileira nata;Professor de Ensino Superior;PCB;Apto;Não eleito;GO;CENTRO-OESTE
2022;Governador;Branca;Deferido;Solteiro(a);40 a 44 anos;Feminino;Superior completo;SÃO PAULO;Brasileira nata;Professor de Ensino Médio;UP;Apto;Não eleito;SP;SUDESTE
2022;Governador;Branca;Deferido;Solteiro(a);40 a 44 anos;Masculino;Ensino Médio completo;MARANHÃO;Brasileira nata;Outros;PCB;Apto;Não eleito;MA;NORDESTE
