Ano de eleição;Cargo;Cor/raça;Detalhe da situação de candidatura;Estado civil;Faixa etária;Gênero;Grau de instrução;Município;Nacionalidade;Ocupação;Sigla partido;Situação de candidatura;Situação de totalização;UF;Região
2018;Governador;Parda;Deferido;Casado(a);35 a 39 anos;Masculino;Superior completo;PARÁ;Brasileira nata;Administrador;MDB;Apto;Eleito;PA;NORTE
2018;Governador;Parda;Deferido;Casado(a);40 a 44 anos;Masculino;Superior completo;AMAZONAS;Brasileira nata;Jornalista e Redator;PSC;Apto;Eleito;AM;NORTE
2018;Governador;Parda;Deferido;Casado(a);50 a 54 anos;Masculino;Superior completo;MARANHÃO;Brasileira nata;Governador;PC do B;Apto;Eleito;MA;NORDESTE
2018;Governador;Parda;Deferido;Casado(a);55 a 59 anos;Masculino;Superior completo;AMAPÁ;Brasileira nata;Governador;PDT;Apto;Eleito;AP;NORTE
2018;Governador;Parda;Deferido;Casado(a);55 a 59 anos;Masculino;Superior completo;BAHIA;Brasileira nata;Economista;PT;Apto;Eleito;BA;NORDESTE
2018;Governador;Parda;Deferido;Casado(a);55 a 59 anos;Masculino;Superior completo;PIAUÍ;Brasileira nata;Governador;PT;Apto;Eleito;PI;NORDESTE
2018;Governador;Parda;Deferido;Solteiro(a);60 a 64 anos;Feminino;Superior completo;RIO GRANDE DO NORTE;Brasileira nata;Outros;PT;Apto;Eleito;RN;NORDESTE
2018;Presidente;Branca;Deferido;Casado(a);60 a 64 anos;Masculino;Superior completo;BRASIL;Brasileira nata;Membro das Forças Armadas;PSL;Apto;Eleito;BR;BR
2018;Vice-governador;Branca;Deferido;Casado(a);30 a 34 anos;Masculino;Superior completo;GOIÁS;Brasileira nata;Deputado;PROS;Apto;Eleito;GO;CENTRO-OESTE
2018;Vice-governador;Branca;Deferido;Casado(a);35 a 39 anos;Masculino;Superior completo;AMAZONAS;Brasileira nata;Servidor Público Estadual;PRTB;Apto;Eleito;AM;NORTE
2018;Vice-governador;Branca;Deferido;Casado(a);35 a 39 anos;Masculino;Superior completo;RIO DE JANEIRO;Brasileira nata;Vereador;PSC;Apto;Eleito;RJ;SUDESTE
2018;Vice-governador;Branca;Deferido;Casado(a);40 a 44 anos;Masculino;Superior completo;SÃO PAULO;Brasileira nata;Advogado;DEM;Apto;Eleito;SP;SUDESTE
2018;Vice-governador;Branca;Deferido;Casado(a);45 a 49 anos;Masculino;Superior completo;PARÁ;Brasileira nata;Deputado;PR;Apto;Eleito;PA;NORTE
2018;Vice-governador;Branca;Deferido;Casado(a);50 a 54 anos;Masculino;Superior completo;ACRE;Brasileira nata;Deputado;PSDB;Apto;Eleito;AC;NORTE
2018;Vice-governador;Branca;Deferido;Casado(a);50 a 54 anos;Masculino;Superior completo;DISTRITO FEDERAL;Brasileira nata;Empresário;AVANTE;Apto;Eleito;DF;CENTRO-OESTE
2018;Vice-governador;Branca;Deferido;Casado(a);50 a 54 anos;Masculino;Superior completo;RIO GRANDE DO SUL;Brasileira nata;Policial Civil;PTB;Apto;Eleito;RS;SUL
2018;Vice-governador;Branca;Deferido;Casado(a);50 a 54 anos;Masculino;Superior completo;RORAIMA;Brasileira nata;Médico;PTC;Apto;Eleito;RR;NORTE
